iter	Passed	Remaining
401	13132	116687
402	13166	116669
403	13198	116632
404	13236	116647
405	13262	116555
406	13291	116492
407	13318	116405
408	13345	116322
409	13372	116244
410	13404	116206
411	13435	116158
412	13468	116126
413	13494	116038
414	13524	115981
415	13551	115902
416	13583	115868
417	13614	115823
418	13644	115766
419	13681	115769
420	13711	115717
421	13740	115655
422	13768	115583
423	13793	115486
424	13818	115389
425	13842	115291
426	13870	115223
427	13907	115228
428	13936	115164
429	13965	115100
430	13993	115029
431	14021	114966
432	14054	114932
433	14086	114895
434	14123	114907
435	14151	114833
436	14180	114774
437	14209	114713
438	14239	114664
439	14269	114610
440	14298	114551
441	14338	114578
442	14367	114518
443	14394	114439
444	14424	114389
445	14452	114323
446	14480	114257
447	14510	114202
448	14611	114711
449	14655	114770
450	14680	114676
451	14709	114613
452	14741	114581
453	14783	114621
454	14818	114606
455	14866	114692
456	14912	114766
457	14974	114953
458	15016	114994
459	15063	115073
460	15104	115100
461	15146	115142
462	15183	115139
463	15221	115144
464	15251	115094
465	15282	115042
466	15314	115006
467	15347	114972
468	15384	114973
469	15428	115022
470	15465	115025
471	15499	115001
472	15535	114987
473	15562	114911
474	15587	114825
475	15616	114761
476	15644	114695
477	15681	114690
478	15711	114641
479	15746	114624
480	15779	114591
481	15824	114644
482	15858	114620
483	15897	114634
484	15927	114581
485	15954	114504
486	15982	114433
487	16009	114363
488	16038	114306
489	16074	114290
490	16115	114318
491	16149	114293
492	16180	114250
493	16208	114180
494	16234	114101
495	16262	114033
496	16296	114008
497	16331	113990
498	16363	113956
499	16397	113932
500	16431	113908
501	16462	113858
502	16492	113806
503	16526	113785
504	16558	113747
505	16591	113711
506	16618	113643
507	16648	113592
508	16674	113508
509	16701	113436
510	16734	113410
511	16855	113969
512	16884	113909
513	16916	113871
514	16958	113902
515	16992	113877
516	17023	113831
517	17051	113761
518	17083	113725
519	17110	113656
520	17138	113589
521	17165	113517
522	17200	113495
523	17233	113464
524	17260	113391
525	17290	113340
526	17319	113281
527	17354	113267
528	17389	113245
529	17421	113207
530	17448	113137
531	17475	113065
532	17510	113048
533	17535	112964
534	17559	112874
535	17585	112794
536	17611	112722
537	17642	112677
538	17668	112600
539	17693	112517
540	17719	112441
541	17745	112367
542	17772	112296
543	17798	112222
544	17828	112172
545	17860	112133
546	17890	112087
547	17920	112036
548	17953	112005
549	17980	111937
550	18007	111868
551	18040	111839
552	18075	111821
553	18107	111784
554	18135	111723
555	18162	111655
556	18190	111592
557	18217	111523
558	18245	111462
559	18283	111461
560	18314	111422
561	18343	111369
562	18369	111294
563	18398	111238
564	18428	111190
565	18455	111124
566	18494	111132
567	18527	111098
568	18558	111054
569	18582	110976
