iter	RMSE
352	0.3874904936
353	0.3874124895
354	0.3872982394
355	0.3871311215
356	0.3869893789
357	0.3868934613
358	0.3868256428
359	0.3867603458
360	0.3866891562
361	0.3866006581
362	0.3864997641
363	0.3863938001
364	0.386322923
365	0.3862536605
366	0.3861832653
367	0.3861117115
368	0.3859805252
369	0.3859385481
370	0.3857754906
371	0.3856155912
372	0.3855430352
373	0.3853871076
374	0.3852845965
375	0.3852158757
376	0.3851010553
377	0.3850014438
378	0.3849357633
379	0.3848783585
380	0.3847583514
381	0.3846259343
382	0.3845334978
383	0.3844540643
384	0.3843394682
385	0.3842696492
386	0.3841510675
387	0.3840542824
388	0.3839298419
389	0.3838732946
390	0.3837748666
391	0.3836995738
392	0.38357215
393	0.383434723
394	0.3833617888
395	0.3832651043
396	0.3831929911
397	0.3830784121
398	0.3830156823
399	0.3829334002
400	0.3828237368
401	0.382694811
402	0.382548127
403	0.3824472826
404	0.3823972519
405	0.38230919
406	0.3821663986
407	0.3820776877
408	0.3819842384
409	0.381926022
410	0.3818482947
411	0.3817536619
412	0.3816611247
413	0.3815815335
414	0.3815169738
415	0.3814069878
416	0.3813144982
417	0.381217751
418	0.3811250293
419	0.3810369115
420	0.3809480091
421	0.3808707805
422	0.380686935
423	0.3806038409
424	0.3805216011
425	0.3803887085
426	0.3802371027
427	0.3800877196
428	0.3799264018
429	0.3798695904
430	0.3798088706
431	0.3796787436
432	0.3795962305
433	0.3795102253
434	0.3794445095
435	0.3793748942
436	0.3792706785
437	0.3791807817
438	0.3790971164
439	0.3789989646
440	0.3789445062
441	0.378860428
442	0.3787723717
443	0.3787138716
444	0.3786623466
445	0.3785778339
446	0.3784313321
447	0.3783829523
448	0.3783287438
449	0.3782746268
450	0.3782042708
451	0.3781168991
452	0.3780011145
453	0.3779063353
454	0.3777230622
455	0.3775784764
456	0.3775146733
457	0.3774462018
458	0.377330485
459	0.3772614404
460	0.3771707229
461	0.3770497062
462	0.3769822407
463	0.3768693657
464	0.376819115
465	0.3766374393
466	0.3765571536
467	0.3764602005
468	0.3763924049
469	0.3762707701
470	0.3761416489
471	0.3760310968
472	0.3759003536
473	0.3758353233
474	0.3757631669
475	0.3756368666
476	0.3755497569
477	0.3752965078
478	0.3751612698
479	0.37509069
480	0.37501651
481	0.3749019538
482	0.3748409778
483	0.3747214404
484	0.3746408423
485	0.3745228337
486	0.3744221248
487	0.3743494966
488	0.3742774587
489	0.3741614426
490	0.3740562461
491	0.3740105869
492	0.3739754918
493	0.3738479745
494	0.3737873769
495	0.3736518133
496	0.3735653659
497	0.3734984947
498	0.3734266502
499	0.3733491474
500	0.3732740753
501	0.3731736142
502	0.3730328963
503	0.3728807244
504	0.3727745665
505	0.3726376093
506	0.3726042639
507	0.3725099569
508	0.3724568644
509	0.3723456769
510	0.3722819754
511	0.372135374
512	0.3720951754
513	0.3719401912
514	0.3718619272
515	0.3717685468
516	0.371678388
517	0.3715751956
518	0.3714893747
519	0.3714205193
520	0.3713012901
521	0.3712469383
522	0.3710994509
523	0.370967244
524	0.3708826728
525	0.3707986501
526	0.3707377907
527	0.3706753991
528	0.3706411114
529	0.3705332262
530	0.3704353171
531	0.3703397841
532	0.3701954366
533	0.3701273007
534	0.3700676812
535	0.3699438063
536	0.369880621
537	0.3697965361
538	0.3697441605
539	0.3696752329
540	0.3696062369
541	0.3695517855
542	0.3695050816
543	0.3694524967
544	0.3693934232
545	0.3693154438
546	0.3692379843
547	0.3691950561
548	0.3691011821
549	0.36903687
550	0.3689945474
551	0.3689405222
552	0.3688748303
553	0.368816281
554	0.3687433833
555	0.3686635103
556	0.3685724671
557	0.3684765059
558	0.3683663035
559	0.3682954387
560	0.3681513749
561	0.3680672042
562	0.3680039207
563	0.3679170653
564	0.3678319611
565	0.3677234929
566	0.3676378305
567	0.3675935905
568	0.3674844618
569	0.3673828012
570	0.3672692715
571	0.3672379753
572	0.3671633899
573	0.3670937827
574	0.3667344153
575	0.3666636396
576	0.3665511178
577	0.3664921867
578	0.3664233203
579	0.3663413826
580	0.3662173217
581	0.3660802897
582	0.3659725693
583	0.3658995195
584	0.365839906
585	0.365769462
586	0.3657267892
587	0.3656468631
588	0.3655307795
589	0.3654410698
590	0.3653758689
591	0.365266988
592	0.3652360225
593	0.3651466886
594	0.36507048
595	0.3650268701
596	0.3649919797
597	0.3648827687
598	0.3648626224
599	0.3647979546
600	0.3647125555
601	0.36462489
602	0.3645598862
603	0.3644948573
604	0.3643982224
605	0.3643249311
